"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.7482643167934555e10,4.346303667497958e10,1.7063331642116562e10,1.678331096989485e10,9.480551425724478e9,9.88641652281455e10,2.9059651869831062e10,3.4417101538255905e10,1.055765580916913e10,2.2616116945787304e10,2.308078364665258e10,2.5954785382127663e10
1.1543583348930875e11,7.618188718462451e10,2.7386676980947914e10,2.7650911925326164e10,1.639163995319636e10,1.8407390042929398e11,6.182222023095657e10,7.10493888250769e10,2.586535896437457e10,4.637374656999119e10,3.96240462069529e10,5.530059548386782e10
1.5587976860113846e11,1.0510016706662401e11,3.471373666206231e10,3.5337509745477135e10,2.2331852362197945e10,2.4959536017884174e11,9.962937228381374e10,1.1169296462153221e11,4.9179457121280464e10,7.297903195988791e10,5.3777837392219185e10,9.229391114065445e10
1.9621866663504373e11,1.3570005501560121e11,4.088708996488803e10,4.199496144587764e10,2.8078736541872227e10,3.0259799361150024e11,1.451335168657934e11,1.6006028097326636e11,8.511930635374214e10,1.0498313688284677e11,6.7864474509468735e10,1.408618467260893e11
2.3384046006822388e11,1.660133677224059e11,4.6520696917032646e10,4.646465699226544e10,3.243556824026779e10,3.35570433477223e11,1.948579218694447e11,2.1174566015387924e11,1.3541366046867032e11,1.4023157840652686e11,8.086476136301222e10,1.985481660163098e11
2.6426595866602475e11,1.9414983098920395e11,5.07659725393394e10,4.7147350187101456e10,3.4009344117737576e10,3.4293288054482733e11,2.4256705307410214e11,2.599261213712071e11,1.9865367105302457e11,1.7499738502879102e11,9.166931920640935e10,2.5997616078401462e11
2.806152874845779e11,2.1853323939561313e11,5.355753990476664e10,4.2790258176036575e10,3.1445256450826447e10,3.204099836413031e11,2.8089504263079517e11,2.9692992103843805e11,2.687646569992408e11,2.0488145897161496e11,9.890767036643352e10,3.1753213887425415e11
2.7559516185550055e11,2.3669492501153653e11,5.493874344352681e10,3.138843665209679e10,2.317260690691302e10,2.629772890510747e11,3.025797554362444e11,3.1420339825007e11,3.339782436918882e11,2.255486806320895e11,1.0120896478804091e11,3.6180552275764355e11
2.4205176814100735e11,2.4506077656518423e11,5.431314726482289e10,9.90182286632961e9,7.302791721591252e9,1.6386192518889822e11,3.003301405033551e11,3.0185553091717993e11,3.765939355526504e11,2.3297521549310333e11,9.701099334760655e10,3.823118473335806e11
1.7351215948159412e11,2.4118751868294983e11,5.211261721066938e10,0.0,0.0,2.1938095901616894e10,2.76176529972305e11,2.533412863218605e11,3.614983127339087e11,2.2994836592841385e11,8.44803090123501e10,3.7654150050553674e11
8.193369160317206e10,2.2390460563050964e11,4.751543544315936e10,0.0,0.0,0.0,2.2588787383997574e11,1.750226705663689e11,3.007293104492322e11,2.1226060683504727e11,6.5323801719591415e10,3.389737040366719e11
0.0,2.017228484906589e11,4.21827543593269e10,0.0,0.0,0.0,1.7017430114390765e11,9.735724607488339e10,2.2852505134022787e11,1.890559110295645e11,4.66797392939678e10,2.901008767376521e11
0.0,0.00015660295238781124,3.233146557939175e-5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
