"global_algorithm_tax"
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
-9999.99
