"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.526593211017606e10,4.867180199588583e10,1.9108262160460766e10,1.8621732611192017e10,1.051903846464942e10,1.0993480895730376e11,3.247630767926533e10,3.842860237785052e10,1.1798960289208483e10,2.5311715027513504e10,2.579448076476914e10,2.9028888184353836e10
1.1804167560777986e11,7.801163947443307e10,2.8044341909852028e10,2.8220438450921886e10,1.6729152007864052e10,1.880175330215813e11,6.326178797917021e10,7.26808051088439e10,2.6467926765801064e10,4.747797503179059e10,4.054704898628795e10,5.6603616169163506e10
1.5346151871986594e11,1.03318984301913e11,3.412531153318591e10,3.4861832842480736e10,2.203120415605853e10,2.4600867816046756e11,9.801025286785786e10,1.0991460541882428e11,4.838058498360036e10,7.175667382234825e10,5.290415839774113e10,9.076874969926442e10
1.8880027259425836e11,1.2984346945800528e11,3.9122439326137024e10,4.075407888702999e10,2.7249114312277946e10,2.9253931013395966e11,1.3924627996998584e11,1.537641595914989e11,8.166637310985316e10,1.0052833581922452e11,6.5111594467773415e10,1.3500504172353423e11
2.2269663187300516e11,1.562691765109914e11,4.379024413590972e10,4.5122902758749084e10,3.1498952889663242e10,3.2297199317211127e11,1.8444496414173383e11,2.0097033450662366e11,1.281755713625538e11,1.3220354220513766e11,7.654312934796483e10,1.8752643036651065e11
2.522030200963912e11,1.8144285870790555e11,4.7443633391361824e10,4.681993964060373e10,3.3772862449340942e10,3.341284844861712e11,2.2891900984376654e11,2.4650117989179282e11,1.874712414158173e11,1.639785753397456e11,8.651105936433008e10,2.443939864772763e11
2.7226551520093777e11,2.0453766659869626e11,5.0128034138045906e10,4.50779695162063e10,3.312551419877596e10,3.236441525498693e11,2.672066804693088e11,2.848580740821054e11,2.5565677958211172e11,1.9258932635842697e11,9.408757027023668e10,3.000770940874675e11
2.774743009649153e11,2.2392915132172528e11,5.1976541570308235e10,3.849148682577858e10,2.84149700129359e10,2.881835682209612e11,2.9400932025853906e11,3.098488534364372e11,3.2450096858101953e11,2.148624164970036e11,9.834304207231854e10,3.476803886582312e11
2.6245195368174222e11,2.370139088295037e11,5.253103744687463e10,2.4583294815510387e10,1.8129239857434937e10,2.2251676696103903e11,3.0390316123883606e11,3.139249744098225e11,3.81050436848696e11,2.278655383542138e11,9.816781087890706e10,3.794222611213131e11
2.1520279549919147e11,2.420979169197637e11,5.231139514888709e10,0.0,0.0,1.1530697218516599e11,2.9773923502887494e11,2.8720981149963214e11,3.896970176623111e11,2.3466239526845932e11,9.108159852221811e10,3.930442431142845e11
1.330721271669074e11,2.3255802461409558e11,4.935380617474292e10,0.0,0.0,0.0,2.6005116485465714e11,2.2153494916846927e11,3.4619906562732715e11,2.251934682471553e11,7.520967949283014e10,3.710790995805465e11
7.440826738850926e9,2.0357849487187253e11,4.257121136767251e10,0.0,0.0,0.0,1.758784549023903e11,1.0458155365941808e11,2.361962840237399e11,1.9153446313182257e11,4.8247859169152985e10,2.9587485925197876e11
0.0,1.4970622640456586e11,3.090538085404227e10,0.0,0.0,0.0,2.9985040595354744e10,0.0,4.050449651647205e10,1.253542911377919e11,7.83690700694341e9,1.479318231759798e11
0.0,7.273852817540273e10,1.4844393232702496e10,0.0,0.0,0.0,0.0,0.0,0.0,2.763816362087496e10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
