"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.586084172274373e10,3.576197619855398e10,1.4040013516156218e10,1.4000087497412294e10,7.908606670480281e9,8.221641710118896e10,2.4005159895726837e10,2.846002646408101e10,8.720131168923796e9,1.8626605900014732e10,1.9049167324263264e10,2.1404396151327915e10
8.292829784702263e10,5.381421223404839e10,1.9345769704407486e10,2.0316033252220974e10,1.2043894067375578e10,1.3397535588662578e11,4.406556765443072e10,5.082582936769783e10,1.8434851984125793e10,3.283826013089665e10,2.822745747340419e10,3.927734893988821e10
1.1245899069273499e11,7.397994309839789e10,2.4433252134228874e10,2.639408614563862e10,1.6684563504571226e10,1.83625031481425e11,7.09923022884376e10,8.002702248827162e10,3.504233904820858e10,5.1539473588221306e10,3.831533852997021e10,6.5451545738129684e10
1.440479761926063e11,9.618850507958974e10,2.8979830217677685e10,3.2486916480175167e10,2.1727475463740456e10,2.286780021919601e11,1.0463844243612973e11,1.1631943240136609e11,6.136235289345395e10,7.475282323796078e10,4.893050259722659e10,1.008849635187722e11
1.7701632784239392e11,1.1957848896491478e11,3.350714346574432e10,3.8105749660531075e10,2.660431765381522e10,2.6529604955922372e11,1.4371354251892026e11,1.5795264597418777e11,9.984604539484138e10,1.0163691188741068e11,5.964858792532532e10,1.450749355928111e11
2.0950492355581104e11,1.4335654098286264e11,3.74856062446391e10,4.2439321143213615e10,3.061007617825608e10,2.9067080103525916e11,1.8513521762702203e11,2.0166723508440274e11,1.5155163405965796e11,1.3032592124861986e11,6.99841827899019e10,1.958172944550848e11
2.3795688294787405e11,1.6700414465274435e11,4.0934862243432755e10,4.505737777725724e10,3.3096167042930424e10,3.0289148711160754e11,2.2501722535740237e11,2.4370960561060892e11,2.151555695029962e11,1.5846256028883408e11,7.926727452021321e10,2.4955561120048892e11
2.5856778431559616e11,1.8946840556344037e11,4.3991269774048386e10,4.5160848039521904e10,3.3311029716664825e10,2.998202011395043e11,2.595472683604908e11,2.7981479550063965e11,2.8621562733756854e11,1.8369990582646567e11,8.687164691145638e10,3.0160845792943115e11
2.6798434986828436e11,2.090740004411839e11,4.636277226450742e10,4.1093664552236565e10,3.0268172576646446e10,2.786815596692162e11,2.8504931172073615e11,3.0487685599951984e11,3.5700589041944165e11,2.0400546306154712e11,9.215743586031534e10,3.4680508747038794e11
2.5905469661739597e11,2.2591751623971756e11,4.8853342389952484e10,3.0813130909443405e10,2.288181402126788e10,2.399775666143904e11,3.065570362479876e11,3.1433331678346625e11,4.0067471198027954e11,2.2409962531281418e11,9.388344405075247e10,3.877446157378654e11
2.2837613288901743e11,2.3503282457841492e11,4.992998984574437e10,1.2469209322904919e10,9.355943353433342e9,1.669915130643934e11,3.1210127240714594e11,3.0125104872229346e11,4.1481898443103937e11,2.364446927818722e11,9.039248053674016e10,4.1168165052556165e11
1.7167209335845273e11,2.332970957054844e11,4.8845801683000725e10,0.0,0.0,4.674981282593541e10,2.9250084381429364e11,2.5874210025955228e11,3.9212891516171045e11,2.3596700207549905e11,8.038419360054451e10,4.0781532669638025e11
8.738135523892973e10,2.1793871306179123e11,4.505453327094725e10,0.0,0.0,0.0,2.4081971874899146e11,1.8231124101784705e11,3.247274855187366e11,2.1843049690431476e11,6.307736515896021e10,3.666062622352788e11
0.0,1.8522217059523596e11,3.785871459125677e10,0.0,0.0,0.0,1.4471442660162967e11,6.014945370326212e10,1.9604713675593182e11,1.7782806877882083e11,3.628760488117342e10,2.7307337925189932e11
0.0,1.3350398492014696e11,2.7009165885029152e10,0.0,0.0,0.0,59464.73656882895,0.0,80882.66465234873,1.1131422998468039e11,14333.427484281072,1.1995710398389006e11
0.0,6.119837490611755e10,1.2266437400816427e10,0.0,0.0,0.0,0.0,0.0,0.0,1.5805631969771769e10,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
