"x1"
0.0
0.18909093932946508
0.2502784135561494
0.29925522790395426
0.3512796510143333
0.4071547916365504
0.46704708272133977
0.5312048344559225
0.6000297217193429
0.6741170891889513
0.7587278729016841
0.8364724021789616
0.9074126511394177
0.9683183189330141
0.9941027448141206
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
